Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Apple sent my MacBook Pro with NO INSTRUCTIONS. Horrible customer service.,One person found this helpful,Bruce W.,-,1,2020-05-22T11:59:17,The Apple MacBook Pro looks great and  based on all the reviews  it probably is. However  as a 71 year old man  accustomed to using Windows for the past 12 years  this new MacBook Pro was very different. The part of it that really makes me angry is the fact that it came with NO INSTRUCTIONS. I need something to look at and do things  step by step. It started off with a Voice tutorial thing that was as confusing and ridiculous as anything I ve ever seen. Trying to access the  guide  on my cell phone while trying to set up this MacBook was as frustrating as anything I ve ever attempted. For a big company  like Apple  to fail so miserably at KEEPING IT SIMPLE  is a horrible error. I will struggle through this but I m not happy about how difficult this is for me. Some clearly written instructions  included with the machine  would have been nice.
Unix-Based Stability  Unparalleled Performance / $  and a Bright  Beautiful Display,3 people found this helpful,Clarkb286,-,5,2020-04-23T14:12:17,The performance of this machine (CPU  memory  SSD  and GPU speed) is outstanding. The battery lasts over 10x longer than my previous laptop  a Lenovo Thinkpad T490. The display is bright (500 nits) and beautiful. The laptop is ultra-portable  weighing less than 3 lbs. Either the cooling fans on this laptop are so quiet that they re inaudible  or else they ve never come on! macOS Big Sur is intuitive and feature-rich  and the fact that the OS is based on Unix makes software development a delight. The only criticism that I have with this machine is that it only has 2 Thunderbolt 3 USB-C ports; an external USB-C hub/adapter/dongle is required if one needs HDMI  USB-A  Ethernet  SDHC  DisplayPort  or VGA connectivity. The price / performance of the M1 MacBook Pro is hard to beat!
Great Apple quality and very compact.,One person found this helpful,Bob D,-,5,2020-03-19T13:59:17,A nice  lightweight computer with beautiful screen and nice sounding audio speakers. Battery life is awesome.Only negatives are:1. I miss the mag charge connector  this USB-C seems flimsy and not durable.2. ZERO ports! You ll need a side port product like the Cheotech or others if you want to add accessories.
Touch Bar is clutch,3 people found this helpful,Katrina,-,5,2020-05-17T17:59:17,The Touch Bar on this Mac book makes writing so much easier. It has predictive text and know what you re trying to say. It saves passwords by your fingerprint. If you are an Apple person like me you can unlock your max book from your Apple Watch. The battery life on this is amazing. I m on it hours at a time and hardly ever have to charge it. Great Apple product.Keeps my life on track as I m a busy teacher and parent and travel for my other job!
Perfect for photo editing,One person found this helpful,PhiliptheGreat,-,5,2020-09-18T17:59:17,I was impressed that there was no lagging when photo editing it. I switched from PC to Apple which might take some adjustment. If you re like me  I recommend that you watch some YouTube videos on some handy tips.The only thing that irritated me was that the package was left on the doorstep for hours. Nobody signed for it. I shuddered to think what might happened if it got stolen. Definitely worth investing Nest or Ring door bell even if nothing got stolen.
Fantastic,2 people found this helpful,Corey W.,-,5,2020-04-23T14:12:17,It has been a long time since I bought a computer  but we were in desperate need of something for the entire family to be able to use. I opted for the pro with a larger hard drive just for a bit of extra storage. This laptop is fast and offers a lot of options for software.
The hype is justified,-,WSSizer,-,5,2020-08-24T11:59:17,I ve had the new M1 MacBook Pro for several months now  and I have to say that it lives up to all of the superlative reviews it received. As expected  the most noticeable improvement is its speed  which is in another league from my 2012 Mac. Battery life is excellent  and the automatic day/night screen change works very well. Although some prefer the standard control bar on the MacBook Air  I think the automatic control bar on the new Pro is really neat. I also like the larger touch pad on the Pro vs the one on the Air. All things considered  the new MacBook Pro is a great value  especially at the Amazon sale price.
Overpriced Old Laptop,7 people found this helpful,anon,-,1,2020-05-15T12:59:17,Only 100$ off 6 months after release. Charging too much for old technology. no touch screen
Surprisingly long battery life and cool operation,3 people found this helpful,Howard Woodward,-,5,2020-06-18T12:59:17,You can read about the new features of the 2020 MacBook Pro with Apple s new M1 chip online. It is living-up to my high expectations. Out of the box  the initial start-up was flawless  downloading all my Contacts and documents from the Cloud  linking to Internet  and upgrading to MacOS 11.1.
Impressed,One person found this helpful,DM29,-,5,2020-04-17T17:59:17,I ve been a lifelong user of Windows PC and Linux. Until Big Sur and the M1 chip came out I ve been hesitant to try Macs  so I first got my toes wet by getting an iPhone 12 earlier this year (also a long time Android user). Having used an iPhone for over 6 months now and being very pleased by its performance I felt encouraged to try one of these new MacBooks  and let me tell you  it did not let me down.I think the level of thinking and detail that went into designing this device is out of this world. You have to give credit where credit is due: this is the most well designed high performance laptop I ve ever used.10/10 would recommend.
Simply the Best!,4 people found this helpful,Steven James DeBlasi,-,5,2020-08-01T17:23:17,This is my very first Mac. It was the value for the price (strange to describe an Apple product that way) and the performance of Apple s new M1 chip that finally compelled me to buy my first Mac. And I m glad I did. This machine is awesome. It s my baby now. It s so good! Part of it no doubt is the novelty is using MacOS instead of Windows 10  but I really love my new MacBook Pro!
